match_id,date,venue,team_a,team_b,team_a_players_total,team_a_players_known,team_a_coverage,team_b_players_total,team_b_players_known,team_b_coverage,total_players,known_players,total_coverage,tier,tier_num,match_type,gender,event,has_outcome
1027317,2017-03-05,"Sir Vivian Richards Stadium, North Sound",England,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in West Indies ODI Series,True
1027319,2017-03-09,"Kensington Oval, Bridgetown",England,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in West Indies ODI Series,True
1029001,2017-05-05,County Ground,England,Ireland,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Ireland in England ODI Series,True
1029003,2017-05-07,Lord's,England,Ireland,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Ireland in England ODI Series,True
1029819,2016-10-07,Shere Bangla National Stadium,Bangladesh,England,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,England in Bangladesh ODI Series,True
1029821,2016-10-09,Shere Bangla National Stadium,Bangladesh,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in Bangladesh ODI Series,True
1029823,2016-10-12,Zahur Ahmed Chowdhury Stadium,Bangladesh,England,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in Bangladesh ODI Series,True
1030219,2016-10-16,Himachal Pradesh Cricket Association Stadium,India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030221,2016-10-20,Feroz Shah Kotla,India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030223,2016-10-23,"Punjab Cricket Association Stadium, Mohali",India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030225,2016-10-26,JSCA International Stadium Complex,India,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1030227,2016-10-29,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,New Zealand,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,New Zealand in India ODI Series,True
1031425,2017-05-24,Headingley,England,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in England ODI Series,True
1031427,2017-05-27,The Rose Bowl,England,South Africa,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,South Africa in England ODI Series,True
1031429,2017-05-29,Lord's,England,South Africa,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,South Africa in England ODI Series,True
1031667,2017-09-19,Old Trafford,West Indies,England,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,West Indies tour of England,True
1031669,2017-09-21,Trent Bridge,England,West Indies,11,11,100.0,11,8,72.7,22,19,86.4,Tier 1 - Excellent,1,ODI,male,West Indies tour of England,True
1031671,2017-09-24,County Ground,England,West Indies,11,11,100.0,11,10,90.9,22,21,95.5,Tier 1 - Excellent,1,ODI,male,West Indies tour of England,True
1031673,2017-09-27,Kennington Oval,West Indies,England,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,West Indies tour of England,True
1031675,2017-09-29,The Rose Bowl,West Indies,England,11,9,81.8,11,11,100.0,22,20,90.9,Tier 1 - Excellent,1,ODI,male,West Indies tour of England,True
1033361,2017-05-12,Malahide,Bangladesh,Ireland,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Ireland Tri-Nation Series,True
1033363,2017-05-14,Malahide,Ireland,New Zealand,11,11,100.0,11,9,81.8,22,20,90.9,Tier 1 - Excellent,1,ODI,male,Ireland Tri-Nation Series,True
1033365,2017-05-17,Clontarf Cricket Club Ground,Bangladesh,New Zealand,11,11,100.0,11,10,90.9,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Ireland Tri-Nation Series,True
1033367,2017-05-19,Malahide,Bangladesh,Ireland,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Ireland Tri-Nation Series,True
1033369,2017-05-21,Malahide,Ireland,New Zealand,11,11,100.0,11,10,90.9,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Ireland Tri-Nation Series,True
1033371,2017-05-24,Clontarf Cricket Club Ground,Bangladesh,New Zealand,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Ireland Tri-Nation Series,True
1034819,2017-01-15,Maharashtra Cricket Association Stadium,England,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in India ODI Series,True
1034821,2017-01-19,Barabati Stadium,England,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in India ODI Series,True
1034823,2017-01-22,Eden Gardens,England,India,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,England in India ODI Series,True
1050223,2016-09-30,Sharjah Cricket Stadium,Pakistan,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan v West Indies ODI Series,True
1050225,2016-10-02,Sharjah Cricket Stadium,Pakistan,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan v West Indies ODI Series,True
1050227,2016-10-05,Sheikh Zayed Stadium,Pakistan,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Pakistan v West Indies ODI Series,True
1059710,2016-11-14,Harare Sports Club,Sri Lanka,Zimbabwe,11,11,100.0,11,10,90.9,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1059711,2016-11-16,Harare Sports Club,Sri Lanka,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1059712,2016-11-19,Queens Sports Club,West Indies,Zimbabwe,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1059713,2016-11-21,Queens Sports Club,Sri Lanka,Zimbabwe,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1059714,2016-11-23,Queens Sports Club,Sri Lanka,West Indies,11,11,100.0,11,11,100.0,22,22,100.0,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1059715,2016-11-25,Queens Sports Club,West Indies,Zimbabwe,11,10,90.9,11,11,100.0,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1059716,2016-11-27,Queens Sports Club,Sri Lanka,Zimbabwe,11,11,100.0,11,10,90.9,22,21,95.5,Tier 1 - Excellent,1,ODI,male,Zimbabwe Tri-Nation Series,True
1068438 (2),2017-04-29,"Trent Bridge, Nottingham",Nottinghamshire,Yorkshire,11,8,72.7,11,8,72.7,22,16,72.7,Tier 2 - Good,2,ODM,male,Royal London One-Day Cup,True
1068438,2017-04-29,"Trent Bridge, Nottingham",Nottinghamshire,Yorkshire,11,8,72.7,11,8,72.7,22,16,72.7,Tier 2 - Good,2,ODM,male,Royal London One-Day Cup,True
1068731,2017-02-16,"Mission Road Ground, Mong Kok",Hong Kong,Netherlands,11,6,54.5,11,9,81.8,22,15,68.2,Tier 2 - Good,2,ODM,male,ICC World Cricket League Championship,True
1068737,2017-04-02,Sheikh Zayed Stadium,Papua New Guinea,United Arab Emirates,11,7,63.6,11,10,90.9,22,17,77.3,Tier 2 - Good,2,ODI,male,ICC World Cricket League Championship,True
1068739,2017-06-11,"Grange Cricket Club Ground, Raeburn Place",Namibia,Scotland,11,7,63.6,11,10,90.9,22,17,77.3,Tier 2 - Good,2,ODM,male,ICC World Cricket League Championship,True
1068740,2017-06-13,"Grange Cricket Club Ground, Raeburn Place",Namibia,Scotland,11,8,72.7,11,10,90.9,22,18,81.8,Tier 1 - Excellent,1,ODM,male,ICC World Cricket League Championship,True
