match_id,date,venue,team,opposition,season_year,season_month,gender,match_type,toss_won,toss_decision_bat,toss_decision_field,team_team_batting_avg,team_team_strike_rate,team_team_total_runs,team_elite_batsmen,team_star_batsmen,team_power_hitters,team_team_bowling_avg,team_team_economy,team_team_total_wickets,team_elite_bowlers,team_star_bowlers,team_all_rounder_count,team_wicketkeeper_count,team_elite_players,team_star_players,team_avg_star_rating,team_team_balance,team_team_depth,team_known_players_count,opp_team_batting_avg,opp_team_strike_rate,opp_team_total_runs,opp_elite_batsmen,opp_star_batsmen,opp_power_hitters,opp_team_bowling_avg,opp_team_economy,opp_team_total_wickets,opp_elite_bowlers,opp_star_bowlers,opp_all_rounder_count,opp_wicketkeeper_count,opp_elite_players,opp_star_players,opp_avg_star_rating,opp_team_balance,opp_team_depth,opp_known_players_count,batting_advantage,star_advantage,elite_advantage,total_runs
1022357,2017-06-06,Sophia Gardens,New Zealand,England,2017,6,male,ODI,1,0,1,22.86,82.66,29372,0,3,1,31.47,5.15,731,1,2,7,1,0,3,5.23,0.726,4,11,24.95,81.76,32270,0,4,2,43.17,5.58,597,0,0,7,1,0,2,5.18,0.578,6,11,-20.31,1,0,223
1022359,2017-06-07,Edgbaston,Pakistan,South Africa,2017,6,male,ODI,0,1,0,25.76,78.42,27979,2,0,2,68.11,5.27,622,1,3,7,1,2,2,5.95,0.378,6,11,25.73,80.11,40620,1,3,0,38.12,5.19,726,0,3,7,1,1,3,5.5,0.675,6,11,-12.36,-1,1,119
1022359,2017-06-07,Edgbaston,South Africa,Pakistan,2017,6,male,ODI,1,1,0,25.73,80.11,40620,1,3,0,38.12,5.19,726,0,3,7,1,1,3,5.5,0.675,6,11,25.76,78.42,27979,2,0,2,68.11,5.27,622,1,3,7,1,2,2,5.95,0.378,6,11,-42.38,1,-1,219
1022361,2017-06-08,Kennington Oval,India,Sri Lanka,2017,6,male,ODI,0,0,1,27.15,77.89,54837,1,3,2,48.04,5.14,778,1,3,9,1,0,5,5.82,0.565,7,11,21.43,72.36,22994,0,1,0,35.4,5.8,797,0,2,7,4,0,2,5.23,0.605,6,11,-8.25,3,0,321
1022361,2017-06-08,Kennington Oval,Sri Lanka,India,2017,6,male,ODI,1,0,1,21.43,72.36,22994,0,1,0,35.4,5.8,797,0,2,7,4,0,2,5.23,0.605,6,11,27.15,77.89,54837,1,3,2,48.04,5.14,778,1,3,9,1,0,5,5.82,0.565,7,11,-26.61,-3,0,322
1022363,2017-06-09,Sophia Gardens,Bangladesh,New Zealand,2017,6,male,ODI,0,1,0,20.36,67.76,32106,0,1,0,48.31,5.46,903,0,2,8,1,0,2,4.95,0.421,5,11,22.86,82.66,29372,0,3,1,31.47,5.15,731,1,2,7,1,0,3,5.23,0.726,4,11,-11.11,-1,0,268
1022363,2017-06-09,Sophia Gardens,New Zealand,Bangladesh,2017,6,male,ODI,1,1,0,22.86,82.66,29372,0,3,1,31.47,5.15,731,1,2,7,1,0,3,5.23,0.726,4,11,20.36,67.76,32106,0,1,0,48.31,5.46,903,0,2,8,1,0,2,4.95,0.421,5,11,-25.45,1,0,265
1022365,2017-06-10,Edgbaston,Australia,England,2017,6,male,ODI,0,0,1,22.32,78.56,27125,0,4,2,40.06,5.49,805,0,2,8,1,0,4,5.32,0.557,5,11,24.95,81.76,32270,0,4,2,43.17,5.58,597,0,0,7,1,0,2,5.18,0.578,6,11,-20.85,2,0,277
1022365,2017-06-10,Edgbaston,England,Australia,2017,6,male,ODI,1,0,1,24.95,81.76,32270,0,4,2,43.17,5.58,597,0,0,7,1,0,2,5.18,0.578,6,11,22.32,78.56,27125,0,4,2,40.06,5.49,805,0,2,8,1,0,4,5.32,0.557,5,11,-15.11,-2,0,240
1022367,2017-06-11,Kennington Oval,India,South Africa,2017,6,male,ODI,1,0,1,27.87,81.48,55465,1,3,2,48.53,5.05,807,1,4,9,1,0,5,5.82,0.574,7,11,25.94,80.05,40873,1,3,0,38.43,5.21,716,0,3,7,1,1,3,5.5,0.675,6,11,-10.56,2,-1,193
