match_id,team,innings_number,total_runs,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,venue,city,date,opposition,match_outcome,player_of_match,teams,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_boundaries_4s,team_boundaries_6s,team_players_count,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_runs_std,venue_matches,venue_min_runs,venue_max_runs,venue_avg_rr,venue_rr_std,venue_avg_boundaries,venue_total_boundaries,venue_high_scoring,opp_avg_runs,opp_runs_std,opp_matches,opp_avg_rr,opp_rr_std,opp_avg_boundaries,opp_total_boundaries,team_balance,venue_advantage
1118916,Uganda,1,97,0,135,22.5,4.311111111111111,19,3,0,3,Wanderers Cricket Ground,Windhoek,2017-09-08,Namibia,Uganda,['F Najjumba'],"['Uganda', 'Namibia']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,111.71,30.0,7,5.54,1.33,8.86,62,0.6,-55.07194923857867
1118916,Namibia,2,76,0,129,21.5,3.5348837209302326,11,5,0,5,Wanderers Cricket Ground,Windhoek,2017-09-08,Uganda,Uganda,['F Najjumba'],"['Uganda', 'Namibia']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,100.25,33.42,8,5.34,2.13,10.38,83,0.6,-55.07194923857867
1118917,Tanzania,1,87,0,131,21.833333333333332,3.984732824427481,16,5,0,5,Wanderers Cricket Ground,Windhoek,2017-09-08,Kenya,Kenya,['FO Kibasu'],"['Tanzania', 'Kenya']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.62,32.56,8,5.34,1.49,9.38,75,0.6,-55.07194923857867
1118917,Kenya,2,88,0,115,19.166666666666668,4.591304347826087,3,9,1,10,Wanderers Cricket Ground,Windhoek,2017-09-08,Tanzania,Kenya,['FO Kibasu'],"['Tanzania', 'Kenya']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,90.75,10.01,4,4.92,0.47,8.25,33,0.6,-55.07194923857867
1118918,Tanzania,1,78,0,125,20.833333333333332,3.744,10,4,0,4,Wanderers Cricket Ground,Windhoek,2017-09-09,Uganda,Uganda,['G Candiru'],"['Tanzania', 'Uganda']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,100.25,33.42,8,5.34,2.13,10.38,83,0.6,-55.07194923857867
1118918,Uganda,2,79,0,100,16.666666666666668,4.739999999999999,4,5,1,6,Wanderers Cricket Ground,Windhoek,2017-09-09,Tanzania,Uganda,['G Candiru'],"['Tanzania', 'Uganda']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,90.75,10.01,4,4.92,0.47,8.25,33,0.6,-55.07194923857867
1118919,Namibia,1,71,0,129,21.5,3.302325581395349,13,5,0,5,Wanderers Cricket Ground,Windhoek,2017-09-09,Zimbabwe,Zimbabwe,['J Nkomo'],"['Namibia', 'Zimbabwe']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.86,31.97,7,5.54,1.79,10.71,75,0.6,-55.07194923857867
1118919,Zimbabwe,2,72,0,79,13.166666666666666,5.468354430379747,19,7,0,7,Wanderers Cricket Ground,Windhoek,2017-09-09,Namibia,Zimbabwe,['J Nkomo'],"['Namibia', 'Zimbabwe']",16.287200000000002,102.61115384615384,0.0,40.0,840.0,267.0,50,43.15235294117647,5.693333333333333,0.0,190.0,12,10,8,5,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,111.71,30.0,7,5.54,1.33,8.86,62,0.5454545454545454,-55.07194923857867
1118920,Kenya,1,58,0,115,19.166666666666668,3.026086956521739,4,3,0,3,Wanderers Cricket Ground,Windhoek,2017-09-10,Uganda,Uganda,['G Candiru'],"['Kenya', 'Uganda']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,100.25,33.42,8,5.34,2.13,10.38,83,0.6,-55.07194923857867
1118920,Uganda,2,59,0,103,17.166666666666668,3.436893203883495,10,4,0,4,Wanderers Cricket Ground,Windhoek,2017-09-10,Kenya,Uganda,['G Candiru'],"['Kenya', 'Uganda']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.62,32.56,8,5.34,1.49,9.38,75,0.6,-55.07194923857867
