innings_number,overs_bowled,run_rate,extras,boundaries_total,is_first_innings,is_high_scoring_venue,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_avg_rr,venue_avg_boundaries,opp_avg_runs,opp_avg_rr,opp_avg_boundaries,team_encoded,opposition_encoded,venue_encoded,city_encoded,match_outcome_encoded,team_balance,venue_advantage,total_runs
2,21.0,8.142857142857142,15,23,0,1,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,164.12,8.51,20.33,168.76,8.67,22.29,8,51,17,64,49,0.358974358974359,16.048050761421337,171
1,20.5,8.829268292682928,14,23,1,0,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,144.96,8.36,16.96,168.76,8.67,22.29,8,51,70,14,7,0.358974358974359,-3.11194923857866,181
2,20.5,7.902439024390244,12,18,0,0,19.860434782608696,112.12375000000002,4.0,57.0,38.2515,5.597727272727273,0.0,138.0,17,19,11,7,144.96,8.36,16.96,158.35,8.03,19.61,51,8,70,14,7,0.4722222222222222,-3.11194923857866,162
1,21.166666666666668,8.31496062992126,8,23,1,0,17.99346153846154,109.34464285714286,3.0,48.0,43.8862962962963,6.207666666666666,0.0,174.0,19,25,17,6,143.6,7.34,14.97,158.35,8.03,19.61,65,8,56,18,62,0.4318181818181818,-4.471949238578674,176
2,20.166666666666668,7.68595041322314,9,17,0,0,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,143.6,7.34,14.97,142.53,8.1,16.67,8,65,56,18,62,0.358974358974359,-4.471949238578674,155
1,21.33333333333333,6.890625,11,14,1,0,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,147.5,7.37,14.5,158.35,8.03,19.61,17,8,26,35,7,0.3777777777777777,-0.571949238578668,147
2,18.83333333333333,7.858407079646018,8,15,0,0,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,147.5,7.37,14.5,147.7,7.64,17.7,8,17,26,35,7,0.358974358974359,-0.571949238578668,148
1,20.5,7.024390243902439,4,12,1,0,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,141.5,6.9,11.5,158.35,8.03,19.61,17,8,83,47,15,0.3777777777777777,-6.571949238578668,144
2,20.5,6.780487804878049,8,11,0,0,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,141.5,6.9,11.5,147.7,7.64,17.7,8,17,83,47,15,0.358974358974359,-6.571949238578668,139
1,21.33333333333333,9.46875,16,23,1,1,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,164.5,8.47,20.0,158.35,8.03,19.61,17,8,39,3,15,0.3777777777777777,16.428050761421332,202
